personal_code,product_number
1982-02-08-0026,5100137483647388
1982-03-23-0001,5100173919196082
1938-07-25-0014,5100136435344635
1979-02-12-0010,5100131306731994
1939-04-12-0022,5100144154178960
1940-06-24-0030,5100140102378546
1905-09-20-0008,5100149547934623
1994-08-26-0029,5100136035476142
1983-07-24-0033,5100132678004333
1925-01-16-0005,5100140553753288
1930-01-10-0037,5100143716855230
1973-08-07-0024,5100149528096608
1921-02-09-0011,5100133759460212
1963-09-28-0015,5100172737751284
1970-11-08-0020,5100140102378546
1931-05-14-0004,5100178236803880
1975-04-14-0036,5100143509026924
2017-10-30-0035,5100172538567152
1910-09-27-7834,5100147108134542
1940-05-24-0002,5100137483647388
2015-09-17-0003,5100131306731994
2014-10-01-0040,5100177720106768
1932-05-25-0021,5100143716855230
1938-01-22-0028,5100177720106768
1908-01-02-0017,5100133759460212
2016-11-14-0038,5100170292589040
1921-11-13-0023,5100130003850628
2008-03-04-0007,5100132678004333
1960-06-29-0018,5100148070294587
2003-10-21-0034,5100141444482194
1920-08-20-0016,5100176843773819
1910-04-10-0032,5100176843773819
1902-05-03-0006,5100140102378546
1971-08-15-0025,5100176843773819
2013-10-29-0031,5100136035476142
1980-12-09-0013,5100131306731994
1947-02-05-0012,5100175854119409
2008-07-26-0019,5100174100138222
2019-01-01-0027,5100143716855230
1972-06-29-0039,5100179457607877
1982-03-23-0001,5100140713963710
1938-07-25-0014,5100131591657011
1979-02-12-0010,5100133454026508
1939-04-12-0022,5100134820916307
1940-06-24-0030,5100134458786071
1905-09-20-0008,5100139171504008
1994-08-26-0029,5100137483647388
1983-07-24-0033,5100177720106768
1925-01-16-0005,5100132678004333
1930-01-10-0037,5100143509026924
1973-08-07-0024,5100175854119409
1921-02-09-0011,5100179457607877
1963-09-28-0015,5100177720106768
1970-11-08-0020,5100136435344635
1975-04-14-0036,5100132678004333
2017-10-30-0035,5100133454026508
1910-09-27-7834,5100134458786071
1940-05-24-0002,5100132678004333
2015-09-17-0003,5100136435344635
2014-10-01-0040,5100149547934623
1932-05-25-0021,5100179457607877
1938-01-22-0028,5100137483647388
1908-01-02-0017,5100174100138222
2016-11-14-0038,5100179457607877
1921-11-13-0023,5100136435344635
2008-03-04-0007,5100133759460212
1960-06-29-0018,5100147108134542
2003-10-21-0034,5100147108134542
1920-08-20-0016,5100174100138222
1910-04-10-0032,5100178236803880
1902-05-03-0006,5100137483647388
1971-08-15-0025,5100131591657011
2013-10-29-0031,5100141444482194
1980-12-09-0013,5100178236803880
1947-02-05-0012,5100134458786071
2008-07-26-0019,5100136474971488
2019-01-01-0027,5100173919196082
1972-06-29-0039,5100139171504008
1982-02-08-0026,5100130003850628
1982-03-23-0001,5100143342926116
1938-07-25-0014,5100144154178960
1979-02-12-0010,5100136435344635
1939-04-12-0022,5100149547934623
1940-06-24-0030,5100140553753288
1905-09-20-0008,5100177720106768
1994-08-26-0029,5100172538567152
1983-07-24-0033,5100136435344635
1925-01-16-0005,5100143342926116
1930-01-10-0037,5100179457607877
1973-08-07-0024,5100140102378546
1921-02-09-0011,5100130003850628
1963-09-28-0015,5100130003850628
1970-11-08-0020,5100132678004333
1931-05-14-0004,5100143509026924
1975-04-14-0036,5100178236803880
2017-10-30-0035,5100176843773819
1910-09-27-7834,5100137483647388
1940-05-24-0002,5100175497684454
2015-09-17-0003,5100176059539193
2014-10-01-0040,5100175497684454
1932-05-25-0021,5100134458786071
1938-01-22-0028,5100143342926116
1908-01-02-0017,5100149547934623
2016-11-14-0038,5100132678004333
1921-11-13-0023,5100179457607877
2008-03-04-0007,5100172737751284
1960-06-29-0018,5100143509026924
2003-10-21-0034,5100133759460212
1920-08-20-0016,5100172737751284
1910-04-10-0032,5100170292589040
1902-05-03-0006,5100135736184724
1971-08-15-0025,5100139171504008
2013-10-29-0031,5100173919196082
1947-02-05-0012,5100147108134542
2008-07-26-0019,5100134458786071
2019-01-01-0027,5100136435344635
1972-06-29-0039,5100176059539193
1982-02-08-0026,5100174290682393
1982-03-23-0001,5100131306731994
1938-07-25-0014,5100136474971488
1979-02-12-0010,5100177720106768
1939-04-12-0022,5100176059539193
1940-06-24-0030,5100133454026508
1905-09-20-0008,5100173919196082
1994-08-26-0029,5100143509026924
1983-07-24-0033,5100147108134542
1925-01-16-0005,5100149547934623
1930-01-10-0037,5100178236803880
1973-08-07-0024,5100144154178960
1921-02-09-0011,5100134820916307
1963-09-28-0015,5100149528096608
1970-11-08-0020,5100144154178960
1931-05-14-0004,5100177720106768
1975-04-14-0036,5100133759460212
2017-10-30-0035,5100130003850628
1910-09-27-7834,5100172737751284
1940-05-24-0002,5100139171504008
2015-09-17-0003,5100147108134542
2014-10-01-0040,5100172538567152
1932-05-25-0021,5100178236803880
1938-01-22-0028,5100141444482194
1908-01-02-0017,5100143509026924
2016-11-14-0038,5100135736184724
1921-11-13-0023,5100137483647388
2008-03-04-0007,5100136035476142
1960-06-29-0018,5100139171504008
2003-10-21-0034,5100174290682393
1920-08-20-0016,5100140102378546
1910-04-10-0032,5100133759460212
1902-05-03-0006,5100148070294587
1971-08-15-0025,5100141444482194
2013-10-29-0031,5100133454026508
1980-12-09-0013,5100132678004333
1947-02-05-0012,5100133454026508
2008-07-26-0019,5100134820916307
2019-01-01-0027,5100134458786071
1982-02-08-0026,5100136035476142
1982-03-23-0001,5100177720106768
1938-07-25-0014,5100141444482194
1979-02-12-0010,5100145287738802
1939-04-12-0022,5100149528096608
1940-06-24-0030,5100176843773819
1905-09-20-0008,5100144154178960
1994-08-26-0029,5100175854119409
1983-07-24-0033,5100145287738802
1925-01-16-0005,5100174290682393
1930-01-10-0037,5100148070294587
1973-08-07-0024,5100139171504008
1921-02-09-0011,5100149528096608
1963-09-28-0015,5100145287738802
1970-11-08-0020,5100178236803880
1931-05-14-0004,5100133759460212
2017-10-30-0035,5100178236803880
1910-09-27-7834,5100134495803228
1940-05-24-0002,5100148070294587
2015-09-17-0003,5100141444482194
1932-05-25-0021,5100134495803228
1938-01-22-0028,5100136474971488
1908-01-02-0017,5100148070294587
2016-11-14-0038,5100175497684454
1921-11-13-0023,5100141101316677
2008-03-04-0007,5100131306731994
1960-06-29-0018,5100174100138222
2003-10-21-0034,5100130003850628
1920-08-20-0016,5100148070294587
1910-04-10-0032,5100147108134542
1902-05-03-0006,5100149547934623
1971-08-15-0025,5100136035476142
2013-10-29-0031,5100144154178960
1980-12-09-0013,5100143509026924
1947-02-05-0012,5100145287738802
2008-07-26-0019,5100170292589040
1972-06-29-0039,5100173919196082
1982-02-08-0026,5100149528096608
1982-03-23-0001,5100137483647388
1938-07-25-0014,5100134820916307
1979-02-12-0010,5100170292589040
1939-04-12-0022,5100176843773819
1940-06-24-0030,5100170292589040
1905-09-20-0008,5100175497684454
1983-07-24-0033,5100133759460212
1925-01-16-0005,5100136435344635
1930-01-10-0037,5100174100138222
1973-08-07-0024,5100140553753288
1921-02-09-0011,5100178236803880
1963-09-28-0015,5100136435344635
1970-11-08-0020,5100141101316677
