personal_code,product_number,score
1963-09-28-0015,5100149528096608,1
1932-05-25-0021,5100131591657011,10
1982-03-23-0001,5100176059539193,6
1938-01-22-0028,5100132678004333,10
1905-09-20-0008,5100147108134542,3
2003-10-21-0034,5100175497684454,3
1940-05-24-0002,5100143716855230,5
1975-04-14-0036,5100134458786071,6
1972-06-29-0039,5100136474971488,2
1979-02-12-0010,5100134495803228,0
1930-01-10-0037,5100134820916307,7
1910-04-10-0032,5100145287738802,8
2017-10-30-0035,5100136435344635,4
1960-06-29-0018,5100143342926116,3
1947-02-05-0012,5100143509026924,5
1908-01-02-0017,5100177720106768,9
1982-02-08-0026,5100140102378546,9
1938-07-25-0014,5100130003850628,0
1971-08-15-0025,5100140553753288,9
1940-06-24-0030,5100176843773819,5
2015-09-17-0003,5100139171504008,1
1920-08-20-0016,5100135736184724,2
1910-09-27-7834,5100136035476142,10
1939-04-12-0022,5100140713963710,1
2013-10-29-0031,5100148070294587,1
1902-05-03-0006,5100131306731994,2
2008-03-04-0007,5100174100138222,1
1921-11-13-0023,5100133759460212,5
2019-01-01-0027,5100141101316677,8
1994-08-26-0029,5100172538567152,10
1983-07-24-0033,5100170292589040,0
1921-02-09-0011,5100144154178960,7
1925-01-16-0005,5100173919196082,7
1980-12-09-0013,5100178236803880,3
2008-07-26-0019,5100174290682393,10
1970-11-08-0020,5100133454026508,8
1973-08-07-0024,5100149547934623,7
2014-10-01-0040,5100172737751284,4
2016-11-14-0038,5100175854119409,7
1931-05-14-0004,5100141444482194,2
1980-12-09-0013,5100178236803880,4
1939-04-12-0022,5100130003850628,5
1931-05-14-0004,5100143509026924,7
1938-07-25-0014,5100149547934623,3
2019-01-01-0027,5100134495803228,7
1963-09-28-0015,5100136435344635,1
2008-03-04-0007,5100175854119409,7
1970-11-08-0020,5100140713963710,1
1920-08-20-0016,5100139171504008,10
1940-05-24-0002,5100131306731994,3
1983-07-24-0033,5100143342926116,5
1925-01-16-0005,5100175497684454,10
1905-09-20-0008,5100177720106768,0
2013-10-29-0031,5100179457607877,6
1921-02-09-0011,5100174290682393,8
2016-11-14-0038,5100141444482194,8
1908-01-02-0017,5100140102378546,3
1902-05-03-0006,5100174100138222,0
1940-06-24-0030,5100172737751284,5
1975-04-14-0036,5100136035476142,2
2003-10-21-0034,5100172538567152,1
1994-08-26-0029,5100176059539193,1
1910-09-27-7834,5100173919196082,3
2015-09-17-0003,5100145287738802,10
2014-10-01-0040,5100148070294587,0
1947-02-05-0012,5100149528096608,9
1921-11-13-0023,5100135736184724,2
1938-01-22-0028,5100176843773819,10
1973-08-07-0024,5100170292589040,7
1910-04-10-0032,5100140553753288,2
1960-06-29-0018,5100141101316677,9
2017-10-30-0035,5100134458786071,1
1972-06-29-0039,5100136474971488,4
2008-07-26-0019,5100147108134542,9
1979-02-12-0010,5100144154178960,7
1982-02-08-0026,5100134820916307,5
1971-08-15-0025,5100133454026508,9
1930-01-10-0037,5100132678004333,6
1982-03-23-0001,5100143716855230,10
1932-05-25-0021,5100133759460212,8
