store.name,personal_code,time,date,pay
Dazzlesphere,1971-08-15-0025,15:23:36,2021-12-09,119.91
Eidel,1970-11-08-0020,13:11:26,2021-06-08,483.73
Skyndu,2008-03-04-0007,13:17:13,2021-12-23,487.9
Wordtune,1982-03-23-0001,3:23:44,2022-01-20,116.97
Brainsphere,2019-01-01-0027,19:04:34,2022-02-17,437.25
Wordware,1973-08-07-0024,18:23:56,2021-12-07,343.52
Zazio,1905-09-20-0008,19:01:13,2021-11-05,432.27
city Gross Växjö,1980-12-09-0013,11:19:15,2021-08-17,303.94
Flipstorm,1931-05-14-0004,22:39:17,2021-05-11,482.39
Rhynyx,2008-07-26-0019,19:17:37,2021-06-06,475.61
Fadeo,1970-11-08-0020,9:21:01,2021-07-18,144.65
Ica Nära Norviken,1963-09-28-0015,14:08:56,2021-08-03,288.29
Shuffledrive,1972-06-29-0039,2:24:40,2021-08-27,410.76
Browsetype,1939-04-12-0022,10:04:44,2021-03-27,390.43
Coop Växjö Emil Lindells Väg,2008-07-26-0019,4:15:47,2021-05-26,21.18
Browsetype,1908-01-02-0017,23:17:14,2021-10-09,375.68
Divanoodle,1921-11-13-0023,7:30:19,2021-10-09,245.56
Eire,2014-10-01-0040,23:14:04,2021-03-24,178.25
city Gross Växjö,1932-05-25-0021,6:01:25,2022-03-06,286.67
Ica Kvantum Teleborg,1931-05-14-0004,16:26:34,2021-03-18,292.14
Linkbridge,2014-10-01-0040,9:17:08,2022-02-24,427.63
Zazio,2017-10-30-0035,22:13:35,2021-07-08,425.47
Eidel,1947-02-05-0012,3:59:38,2022-01-11,372.89
Dazzlesphere,1938-07-25-0014,1:24:05,2021-09-18,248.0
Demimbu,1902-05-03-0006,6:24:57,2021-08-17,87.23
Teklist,1940-06-24-0030,8:37:53,2021-11-02,415.54
Fadeo,1980-12-09-0013,10:40:46,2022-01-08,212.14
city Gross Växjö,1979-02-12-0010,10:31:41,2021-07-28,322.84
Tagtune,1982-02-08-0026,14:13:10,2021-10-11,356.47
Demimbu,1920-08-20-0016,2:56:09,2021-07-15,52.41
Kwimbee,1930-01-10-0037,4:02:41,2021-08-04,248.28
Pixope,1975-04-14-0036,13:00:35,2021-08-18,458.87
Leexo,1994-08-26-0029,14:52:25,2021-10-03,351.31
Tagtune,2003-10-21-0034,2:51:40,2022-01-04,126.65
Willy:s Teleborg,1940-05-24-0002,11:55:09,2021-06-05,56.48
Trunyx,1939-04-12-0022,20:15:24,2021-04-02,305.95
Lidle Teleborg,2014-10-01-0040,19:27:26,2021-12-25,33.99
Rhycero,1982-03-23-0001,9:08:40,2021-07-26,118.85
Wikizz,1983-07-24-0033,7:06:07,2021-06-08,78.33
Kwimbee,1972-06-29-0039,23:23:59,2021-08-17,301.47
Divanoodle,2017-10-30-0035,11:29:09,2021-04-01,135.82
Divanoodle,2015-09-17-0003,3:49:59,2021-08-04,399.95
Pixope,1920-08-20-0016,11:06:05,2021-06-25,433.42
Wikizz,1960-06-29-0018,7:30:46,2021-12-17,401.28
Coop Växjö Emil Lindells Väg,1921-11-13-0023,23:35:37,2021-06-25,284.29
Flipstorm,1973-08-07-0024,22:14:55,2021-04-08,57.38
Trunyx,1973-08-07-0024,7:55:04,2021-12-24,277.57
Tagtune,1940-05-24-0002,8:43:42,2021-09-30,377.53
Rhycero,1930-01-10-0037,19:49:32,2022-01-04,304.36
Fadeo,1920-08-20-0016,23:03:40,2021-03-28,202.34
Tagtune,1930-01-10-0037,18:10:37,2022-01-24,424.98
Skyndu,2008-07-26-0019,8:31:55,2021-07-19,70.25
Lidle Teleborg,2008-03-04-0007,11:34:45,2021-11-16,207.91
Skyndu,1921-02-09-0011,8:38:58,2021-08-27,247.82
Demimbu,1940-06-24-0030,23:06:33,2021-08-01,186.59
Brainsphere,1982-03-23-0001,2:21:48,2021-04-30,496.63
Linkbridge,2008-03-04-0007,13:09:54,2021-05-10,186.57
Trunyx,1932-05-25-0021,5:37:05,2021-04-13,40.07
Tagtune,1932-05-25-0021,11:41:40,2021-12-31,497.51
Wordware,1908-01-02-0017,1:28:52,2021-11-14,280.5
Eidel,2008-03-04-0007,16:10:25,2021-05-16,55.26
Rhynyx,2017-10-30-0035,7:38:50,2021-05-17,297.88
Zazio,1920-08-20-0016,18:45:49,2021-10-26,35.73
Brainsphere,2003-10-21-0034,17:24:11,2021-03-19,385.54
Rhycero,1982-02-08-0026,22:32:11,2021-09-20,350.14
Ica Nära Norviken,1971-08-15-0025,6:30:53,2022-03-06,281.5
Jetpulse,2014-10-01-0040,12:51:16,2021-05-22,416.04
Ica Kvantum Teleborg,1960-06-29-0018,15:33:12,2022-01-22,198.22
Linkbridge,2016-11-14-0038,3:35:36,2021-09-22,199.19
Coop Växjö Emil Lindells Väg,1930-01-10-0037,9:08:37,2022-01-11,90.64
Dynabox,1982-02-08-0026,4:17:48,2022-01-24,462.83
Wikizz,1960-06-29-0018,1:49:07,2021-06-28,198.57
Wikizz,1971-08-15-0025,17:01:09,2022-01-04,395.74
Wordtune,2014-10-01-0040,6:10:16,2021-12-22,328.03
Lidle Teleborg,2014-10-01-0040,12:24:25,2021-09-10,291.83
Rhycero,1910-09-27-7834,17:22:19,2021-09-19,232.63
Gabcube,1975-04-14-0036,9:07:27,2021-06-01,460.27
Demimbu,1982-03-23-0001,21:48:24,2021-09-28,241.81
Linkbridge,1994-08-26-0029,10:12:35,2021-03-18,61.18
Dynabox,1971-08-15-0025,4:17:11,2021-09-01,98.66
Dazzlesphere,1930-01-10-0037,20:34:36,2021-11-08,59.39
Wikizz,2015-09-17-0003,13:23:22,2021-04-13,158.47
Gabcube,1971-08-15-0025,4:51:58,2021-04-29,176.24
Ica Kvantum Teleborg,1932-05-25-0021,9:34:51,2021-07-15,22.01
